sample_id,expected_material,expected_material_cn,qc_result,grade,defect,disposition,surface_state,red_blue_ratio,nir_mean_800_1000,notes
qc_silver_pass_0057,silver,白银,pass,B,none,release,polished,1.06,0.9398,标称白银饰品，产线质检 ROI
qc_gold_recheck_nir_0027,gold,黄金,recheck,C,none,recheck,polished,2.12,0.8895,标称黄金，近红外反射略低，边界样本
qc_gold_fail_ox_0028,gold,黄金,fail,C,oxidation,reject,oxidized,1.5,0.3403,标称黄金，表面氧化发黑
qc_silver_pass_0168,silver,白银,pass,B,none,release,brushed,1.05,0.9419,标称白银饰品，产线质检 ROI
qc_silver_fail_contam_0053,silver,白银,fail,C,contamination,quarantine,contaminated,1.19,0.6648,标称白银，表面污染
qc_gold_pass_0127,gold,黄金,pass,A,none,release,polished,2.1,0.9253,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0034,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.36,0.8951,标称黄金，光谱疑似铜色替代
qc_gold_pass_0043,gold,黄金,pass,A,none,release,brushed,2.15,0.933,标称黄金饰品，产线质检 ROI
qc_silver_fail_contam_0005,silver,白银,fail,C,contamination,quarantine,contaminated,1.21,0.6531,标称白银，表面污染
qc_gold_recheck_nir_0036,gold,黄金,recheck,C,none,recheck,brushed,2.05,0.8876,标称黄金，近红外反射略低，边界样本
qc_gold_pass_0112,gold,黄金,pass,B,none,release,polished,2.19,0.9373,标称黄金饰品，产线质检 ROI
qc_silver_pass_0099,silver,白银,pass,B,none,release,polished,1.03,0.9375,标称白银饰品，产线质检 ROI
qc_silver_pass_0086,silver,白银,pass,A,none,release,brushed,1.02,0.9469,标称白银饰品，产线质检 ROI
qc_gold_pass_0065,gold,黄金,pass,B,none,release,polished,2.22,0.9324,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0040,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.19,0.8931,标称黄金，光谱疑似铜色替代
qc_gold_recheck_copper_0018,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.4,0.9039,标称黄金，光谱疑似铜色替代
qc_gold_pass_0068,gold,黄金,pass,B,none,release,brushed,1.99,0.9303,标称黄金饰品，产线质检 ROI
qc_silver_pass_0171,silver,白银,pass,A,none,release,brushed,1.03,0.9406,标称白银饰品，产线质检 ROI
qc_gold_pass_0143,gold,黄金,pass,A,none,release,brushed,2.13,0.9296,标称黄金饰品，产线质检 ROI
qc_silver_pass_0079,silver,白银,pass,A,none,release,brushed,1.04,0.9559,标称白银饰品，产线质检 ROI
qc_gold_pass_0022,gold,黄金,pass,B,none,release,brushed,2.02,0.9321,标称黄金饰品，产线质检 ROI
qc_silver_recheck_0011,silver,白银,recheck,C,none,recheck,polished,0.95,0.8988,标称白银，光谱指标边界偏离
qc_silver_fail_ox_0048,silver,白银,fail,C,oxidation,reject,oxidized,1.03,0.397,标称白银，表面氧化严重
qc_gold_fail_plating_0048,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.25,0.8775,标称黄金，疑似镀金/镀银
qc_gold_recheck_copper_0029,gold,黄金,recheck,C,material_mismatch,recheck,polished,1.97,0.8972,标称黄金，光谱疑似铜色替代
qc_gold_recheck_copper_0013,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.11,0.8969,标称黄金，光谱疑似铜色替代
qc_silver_pass_0174,silver,白银,pass,B,none,release,polished,1.06,0.9521,标称白银饰品，产线质检 ROI
qc_gold_fail_ox_0010,gold,黄金,fail,C,oxidation,reject,oxidized,1.3,0.3923,标称黄金，表面氧化发黑
qc_gold_fail_mismatch_0043,gold,黄金,fail,C,material_mismatch,reject,polished,1.09,0.8937,标称黄金，材质严重不符
qc_gold_pass_0140,gold,黄金,pass,B,none,release,polished,2.23,0.9272,标称黄金饰品，产线质检 ROI
qc_gold_pass_0147,gold,黄金,pass,A,none,release,polished,2.11,0.9321,标称黄金饰品，产线质检 ROI
qc_silver_pass_0028,silver,白银,pass,A,none,release,polished,1.03,0.9461,标称白银饰品，产线质检 ROI
qc_silver_recheck_0027,silver,白银,recheck,C,none,recheck,polished,1.01,0.897,标称白银，光谱指标边界偏离
qc_gold_pass_0064,gold,黄金,pass,A,none,release,brushed,2.06,0.927,标称黄金饰品，产线质检 ROI
qc_gold_recheck_nir_0044,gold,黄金,recheck,C,none,recheck,brushed,2.12,0.8998,标称黄金，近红外反射略低，边界样本
qc_silver_pass_0015,silver,白银,pass,B,none,release,brushed,1.05,0.9564,标称白银饰品，产线质检 ROI
qc_gold_fail_ox_0004,gold,黄金,fail,C,oxidation,reject,oxidized,1.54,0.3957,标称黄金，表面氧化发黑
qc_gold_recheck_nir_0018,gold,黄金,recheck,C,none,recheck,brushed,2.36,0.8665,标称黄金，近红外反射略低，边界样本
qc_gold_recheck_copper_0033,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.3,0.8898,标称黄金，光谱疑似铜色替代
qc_gold_pass_0122,gold,黄金,pass,A,none,release,polished,2.07,0.932,标称黄金饰品，产线质检 ROI
qc_silver_pass_0101,silver,白银,pass,A,none,release,polished,1.04,0.9403,标称白银饰品，产线质检 ROI
qc_silver_pass_0062,silver,白银,pass,A,none,release,brushed,1.04,0.9555,标称白银饰品，产线质检 ROI
qc_silver_fail_ox_0056,silver,白银,fail,C,oxidation,reject,oxidized,1.76,0.406,标称白银，表面氧化严重
qc_silver_pass_0003,silver,白银,pass,B,none,release,brushed,1.0,0.9482,标称白银饰品，产线质检 ROI
qc_gold_pass_0021,gold,黄金,pass,B,none,release,polished,2.0,0.9381,标称黄金饰品，产线质检 ROI
qc_silver_fail_contam_0058,silver,白银,fail,C,contamination,quarantine,contaminated,1.3,0.653,标称白银，表面污染
qc_gold_recheck_nir_0002,gold,黄金,recheck,C,none,recheck,polished,2.29,0.8715,标称黄金，近红外反射略低，边界样本
qc_silver_fail_contam_0064,silver,白银,fail,C,contamination,quarantine,contaminated,1.23,0.6548,标称白银，表面污染
qc_gold_recheck_copper_0053,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.06,0.8946,标称黄金，光谱疑似铜色替代
qc_gold_fail_contam_0004,gold,黄金,fail,C,contamination,quarantine,contaminated,1.22,0.6542,标称黄金，表面污染
qc_gold_pass_0077,gold,黄金,pass,A,none,release,brushed,2.05,0.9288,标称黄金饰品，产线质检 ROI
qc_gold_fail_plating_0004,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.42,0.8925,标称黄金，疑似镀金/镀银
qc_silver_pass_0161,silver,白银,pass,A,none,release,brushed,1.02,0.9435,标称白银饰品，产线质检 ROI
qc_gold_pass_0106,gold,黄金,pass,A,none,release,polished,2.04,0.941,标称黄金饰品，产线质检 ROI
qc_silver_pass_0005,silver,白银,pass,A,none,release,brushed,1.02,0.9423,标称白银饰品，产线质检 ROI
qc_gold_pass_0020,gold,黄金,pass,B,none,release,polished,2.03,0.9415,标称黄金饰品，产线质检 ROI
qc_silver_pass_0103,silver,白银,pass,A,none,release,polished,1.03,0.952,标称白银饰品，产线质检 ROI
qc_silver_pass_0092,silver,白银,pass,A,none,release,brushed,1.04,0.943,标称白银饰品，产线质检 ROI
qc_silver_recheck_0044,silver,白银,recheck,C,none,recheck,polished,1.05,0.905,标称白银，光谱指标边界偏离
qc_gold_fail_contam_0062,gold,黄金,fail,C,contamination,quarantine,contaminated,1.2,0.6552,标称黄金，表面污染
qc_gold_pass_0023,gold,黄金,pass,B,none,release,polished,2.17,0.9403,标称黄金饰品，产线质检 ROI
qc_silver_pass_0147,silver,白银,pass,B,none,release,brushed,1.0,0.9484,标称白银饰品，产线质检 ROI
qc_silver_pass_0061,silver,白银,pass,A,none,release,polished,1.02,0.9459,标称白银饰品，产线质检 ROI
qc_silver_fail_ox_0005,silver,白银,fail,C,oxidation,reject,oxidized,1.69,0.3957,标称白银，表面氧化严重
qc_silver_recheck_0016,silver,白银,recheck,C,none,recheck,polished,1.06,0.8988,标称白银，光谱指标边界偏离
qc_silver_pass_0007,silver,白银,pass,A,none,release,brushed,1.03,0.9485,标称白银饰品，产线质检 ROI
qc_silver_fail_contam_0041,silver,白银,fail,C,contamination,quarantine,contaminated,1.4,0.672,标称白银，表面污染
qc_silver_pass_0059,silver,白银,pass,A,none,release,brushed,1.04,0.947,标称白银饰品，产线质检 ROI
qc_silver_fail_contam_0027,silver,白银,fail,C,contamination,quarantine,contaminated,1.22,0.6657,标称白银，表面污染
qc_gold_pass_0061,gold,黄金,pass,A,none,release,brushed,2.04,0.9334,标称黄金饰品，产线质检 ROI
qc_gold_pass_0050,gold,黄金,pass,B,none,release,brushed,2.19,0.9354,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0016,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.16,0.8936,标称黄金，光谱疑似铜色替代
qc_gold_fail_contam_0002,gold,黄金,fail,C,contamination,quarantine,contaminated,1.32,0.6529,标称黄金，表面污染
qc_gold_fail_ox_0035,gold,黄金,fail,C,oxidation,reject,oxidized,1.47,0.3991,标称黄金，表面氧化发黑
qc_silver_pass_0119,silver,白银,pass,B,none,release,polished,1.05,0.9468,标称白银饰品，产线质检 ROI
qc_gold_recheck_copper_0023,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.07,0.9008,标称黄金，光谱疑似铜色替代
qc_silver_fail_mismatch_0009,silver,白银,fail,C,material_mismatch,reject,polished,1.14,0.8879,标称白银，材质严重不符
qc_gold_fail_contam_0036,gold,黄金,fail,C,contamination,quarantine,contaminated,1.18,0.6731,标称黄金，表面污染
qc_silver_fail_plating_0049,silver,白银,fail,C,plating_risk,quarantine,tarnished,1.44,0.89,标称白银，疑似镀金/镀银
qc_gold_pass_0172,gold,黄金,pass,A,none,release,polished,2.1,0.9461,标称黄金饰品，产线质检 ROI
qc_silver_fail_mismatch_0020,silver,白银,fail,C,material_mismatch,reject,polished,2.28,0.8795,标称白银，材质严重不符
qc_silver_pass_0094,silver,白银,pass,B,none,release,brushed,1.05,0.9491,标称白银饰品，产线质检 ROI
qc_gold_fail_mismatch_0012,gold,黄金,fail,C,material_mismatch,reject,polished,1.1,0.8875,标称黄金，材质严重不符
qc_silver_fail_mismatch_0039,silver,白银,fail,C,material_mismatch,reject,polished,2.2,0.9004,标称白银，材质严重不符
qc_gold_recheck_copper_0052,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.53,0.8924,标称黄金，光谱疑似铜色替代
qc_silver_pass_0133,silver,白银,pass,B,none,release,brushed,1.04,0.9342,标称白银饰品，产线质检 ROI
qc_gold_fail_ox_0013,gold,黄金,fail,C,oxidation,reject,oxidized,1.27,0.3839,标称黄金，表面氧化发黑
qc_silver_fail_ox_0043,silver,白银,fail,C,oxidation,reject,oxidized,1.75,0.4206,标称白银，表面氧化严重
qc_silver_recheck_0008,silver,白银,recheck,C,none,recheck,polished,1.04,0.8924,标称白银，光谱指标边界偏离
qc_silver_pass_0011,silver,白银,pass,B,none,release,polished,1.08,0.951,标称白银饰品，产线质检 ROI
qc_gold_recheck_copper_0004,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.41,0.9093,标称黄金，光谱疑似铜色替代
qc_gold_recheck_copper_0046,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.29,0.8954,标称黄金，光谱疑似铜色替代
qc_silver_recheck_0028,silver,白银,recheck,C,none,recheck,polished,1.0,0.9105,标称白银，光谱指标边界偏离
qc_gold_fail_ox_0031,gold,黄金,fail,C,oxidation,reject,oxidized,1.45,0.3961,标称黄金，表面氧化发黑
qc_silver_pass_0056,silver,白银,pass,B,none,release,polished,1.06,0.9496,标称白银饰品，产线质检 ROI
qc_silver_recheck_0036,silver,白银,recheck,C,none,recheck,polished,1.03,0.9048,标称白银，光谱指标边界偏离
qc_silver_pass_0107,silver,白银,pass,A,none,release,polished,1.02,0.9482,标称白银饰品，产线质检 ROI
qc_gold_fail_contam_0006,gold,黄金,fail,C,contamination,quarantine,contaminated,1.21,0.6694,标称黄金，表面污染
qc_silver_fail_ox_0059,silver,白银,fail,C,oxidation,reject,oxidized,1.6,0.4059,标称白银，表面氧化严重
qc_gold_pass_0093,gold,黄金,pass,A,none,release,polished,2.15,0.9321,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0007,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.34,0.8726,标称黄金，光谱疑似铜色替代
qc_silver_fail_ox_0016,silver,白银,fail,C,oxidation,reject,oxidized,1.3,0.398,标称白银，表面氧化严重
qc_silver_pass_0160,silver,白银,pass,A,none,release,polished,1.04,0.9499,标称白银饰品，产线质检 ROI
qc_gold_fail_mismatch_0011,gold,黄金,fail,C,material_mismatch,reject,polished,2.33,0.8956,标称黄金，材质严重不符
qc_gold_recheck_copper_0015,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.19,0.8903,标称黄金，光谱疑似铜色替代
qc_gold_recheck_nir_0030,gold,黄金,recheck,C,none,recheck,polished,2.22,0.8649,标称黄金，近红外反射略低，边界样本
qc_silver_fail_ox_0007,silver,白银,fail,C,oxidation,reject,oxidized,1.46,0.4044,标称白银，表面氧化严重
qc_silver_pass_0131,silver,白银,pass,B,none,release,brushed,1.06,0.949,标称白银饰品，产线质检 ROI
qc_silver_fail_plating_0006,silver,白银,fail,C,plating_risk,quarantine,tarnished,1.42,0.8698,标称白银，疑似镀金/镀银
qc_silver_pass_0044,silver,白银,pass,B,none,release,brushed,1.06,0.9496,标称白银饰品，产线质检 ROI
qc_silver_fail_ox_0051,silver,白银,fail,C,oxidation,reject,oxidized,1.51,0.4011,标称白银，表面氧化严重
qc_gold_recheck_copper_0012,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.09,0.8917,标称黄金，光谱疑似铜色替代
qc_silver_pass_0108,silver,白银,pass,A,none,release,polished,1.02,0.9457,标称白银饰品，产线质检 ROI
qc_gold_pass_0130,gold,黄金,pass,B,none,release,polished,2.26,0.9436,标称黄金饰品，产线质检 ROI
qc_gold_recheck_nir_0015,gold,黄金,recheck,C,none,recheck,polished,2.09,0.8808,标称黄金，近红外反射略低，边界样本
qc_silver_pass_0165,silver,白银,pass,A,none,release,polished,1.02,0.9407,标称白银饰品，产线质检 ROI
qc_silver_fail_mismatch_0013,silver,白银,fail,C,material_mismatch,reject,polished,1.08,0.8786,标称白银，材质严重不符
qc_silver_recheck_0003,silver,白银,recheck,C,none,recheck,polished,1.11,0.896,标称白银，光谱指标边界偏离
qc_silver_pass_0098,silver,白银,pass,A,none,release,brushed,1.03,0.9451,标称白银饰品，产线质检 ROI
qc_gold_pass_0051,gold,黄金,pass,B,none,release,brushed,2.29,0.9349,标称黄金饰品，产线质检 ROI
qc_silver_fail_contam_0037,silver,白银,fail,C,contamination,quarantine,contaminated,1.18,0.6552,标称白银，表面污染
qc_silver_pass_0115,silver,白银,pass,B,none,release,polished,1.0,0.9572,标称白银饰品，产线质检 ROI
qc_gold_fail_contam_0035,gold,黄金,fail,C,contamination,quarantine,contaminated,1.27,0.6537,标称黄金，表面污染
qc_gold_recheck_copper_0010,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.16,0.9014,标称黄金，光谱疑似铜色替代
qc_gold_pass_0098,gold,黄金,pass,A,none,release,brushed,2.07,0.9427,标称黄金饰品，产线质检 ROI
qc_gold_fail_contam_0029,gold,黄金,fail,C,contamination,quarantine,contaminated,1.26,0.6584,标称黄金，表面污染
qc_gold_fail_plating_0011,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.43,0.8986,标称黄金，疑似镀金/镀银
qc_silver_pass_0063,silver,白银,pass,B,none,release,polished,1.05,0.955,标称白银饰品，产线质检 ROI
qc_gold_pass_0097,gold,黄金,pass,B,none,release,polished,2.01,0.9331,标称黄金饰品，产线质检 ROI
qc_gold_fail_plating_0025,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.43,0.89,标称黄金，疑似镀金/镀银
qc_gold_pass_0113,gold,黄金,pass,B,none,release,polished,2.19,0.9374,标称黄金饰品，产线质检 ROI
qc_gold_pass_0036,gold,黄金,pass,B,none,release,brushed,1.95,0.9415,标称黄金饰品，产线质检 ROI
qc_silver_fail_ox_0033,silver,白银,fail,C,oxidation,reject,oxidized,1.52,0.4091,标称白银，表面氧化严重
qc_silver_fail_ox_0062,silver,白银,fail,C,oxidation,reject,oxidized,1.32,0.4046,标称白银，表面氧化严重
qc_gold_recheck_nir_0020,gold,黄金,recheck,C,none,recheck,brushed,1.97,0.8835,标称黄金，近红外反射略低，边界样本
qc_gold_pass_0060,gold,黄金,pass,B,none,release,brushed,2.16,0.9366,标称黄金饰品，产线质检 ROI
qc_gold_pass_0070,gold,黄金,pass,B,none,release,brushed,2.18,0.933,标称黄金饰品，产线质检 ROI
qc_silver_fail_mismatch_0047,silver,白银,fail,C,material_mismatch,reject,polished,1.1,0.8919,标称白银，材质严重不符
qc_silver_fail_ox_0028,silver,白银,fail,C,oxidation,reject,oxidized,1.67,0.3973,标称白银，表面氧化严重
qc_silver_fail_mismatch_0010,silver,白银,fail,C,material_mismatch,reject,polished,2.27,0.8822,标称白银，材质严重不符
qc_silver_pass_0025,silver,白银,pass,B,none,release,polished,1.05,0.9466,标称白银饰品，产线质检 ROI
qc_gold_pass_0054,gold,黄金,pass,A,none,release,polished,2.09,0.9392,标称黄金饰品，产线质检 ROI
qc_silver_recheck_0019,silver,白银,recheck,C,none,recheck,polished,1.07,0.8989,标称白银，光谱指标边界偏离
qc_gold_pass_0059,gold,黄金,pass,B,none,release,brushed,1.95,0.9459,标称黄金饰品，产线质检 ROI
qc_gold_recheck_copper_0055,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.34,0.891,标称黄金，光谱疑似铜色替代
qc_silver_pass_0030,silver,白银,pass,A,none,release,polished,1.03,0.9523,标称白银饰品，产线质检 ROI
qc_gold_pass_0018,gold,黄金,pass,A,none,release,brushed,2.07,0.9501,标称黄金饰品，产线质检 ROI
qc_gold_pass_0090,gold,黄金,pass,A,none,release,brushed,2.1,0.9421,标称黄金饰品，产线质检 ROI
qc_gold_fail_plating_0018,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.45,0.8815,标称黄金，疑似镀金/镀银
qc_gold_pass_0033,gold,黄金,pass,B,none,release,brushed,2.17,0.9366,标称黄金饰品，产线质检 ROI
qc_gold_pass_0011,gold,黄金,pass,A,none,release,polished,2.1,0.9416,标称黄金饰品，产线质检 ROI
qc_gold_pass_0155,gold,黄金,pass,B,none,release,polished,2.17,0.9428,标称黄金饰品，产线质检 ROI
qc_gold_fail_plating_0030,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.45,0.8861,标称黄金，疑似镀金/镀银
qc_gold_pass_0007,gold,黄金,pass,A,none,release,polished,2.05,0.9264,标称黄金饰品，产线质检 ROI
qc_gold_pass_0026,gold,黄金,pass,B,none,release,polished,2.0,0.9501,标称黄金饰品，产线质检 ROI
qc_silver_pass_0134,silver,白银,pass,A,none,release,polished,1.02,0.9445,标称白银饰品，产线质检 ROI
qc_gold_pass_0079,gold,黄金,pass,A,none,release,polished,2.04,0.9345,标称黄金饰品，产线质检 ROI
qc_gold_recheck_nir_0009,gold,黄金,recheck,C,none,recheck,polished,2.03,0.8702,标称黄金，近红外反射略低，边界样本
qc_silver_pass_0143,silver,白银,pass,B,none,release,polished,1.09,0.9484,标称白银饰品，产线质检 ROI
qc_silver_recheck_0022,silver,白银,recheck,C,none,recheck,polished,1.08,0.8964,标称白银，光谱指标边界偏离
qc_gold_pass_0040,gold,黄金,pass,A,none,release,brushed,2.06,0.9328,标称黄金饰品，产线质检 ROI
qc_silver_pass_0023,silver,白银,pass,B,none,release,brushed,1.01,0.9372,标称白银饰品，产线质检 ROI
qc_silver_pass_0008,silver,白银,pass,B,none,release,polished,1.05,0.9439,标称白银饰品，产线质检 ROI
qc_gold_fail_plating_0031,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.37,0.8784,标称黄金，疑似镀金/镀银
qc_silver_fail_mismatch_0055,silver,白银,fail,C,material_mismatch,reject,polished,2.32,0.8969,标称白银，材质严重不符
qc_gold_fail_plating_0037,gold,黄金,fail,C,plating_risk,quarantine,tarnished,1.35,0.8849,标称黄金，疑似镀金/镀银
qc_gold_recheck_copper_0022,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.15,0.905,标称黄金，光谱疑似铜色替代
qc_silver_pass_0158,silver,白银,pass,A,none,release,brushed,1.02,0.9513,标称白银饰品，产线质检 ROI
qc_gold_fail_ox_0025,gold,黄金,fail,C,oxidation,reject,oxidized,1.28,0.371,标称黄金，表面氧化发黑
qc_gold_recheck_copper_0045,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.55,0.9004,标称黄金，光谱疑似铜色替代
qc_gold_pass_0137,gold,黄金,pass,A,none,release,polished,2.08,0.9316,标称黄金饰品，产线质检 ROI
qc_silver_recheck_0039,silver,白银,recheck,C,none,recheck,polished,0.99,0.912,标称白银，光谱指标边界偏离
qc_gold_fail_ox_0044,gold,黄金,fail,C,oxidation,reject,oxidized,1.53,0.3496,标称黄金，表面氧化发黑
qc_gold_pass_0173,gold,黄金,pass,B,none,release,polished,2.28,0.9255,标称黄金饰品，产线质检 ROI
qc_gold_fail_ox_0036,gold,黄金,fail,C,oxidation,reject,oxidized,1.25,0.3889,标称黄金，表面氧化发黑
qc_silver_pass_0039,silver,白银,pass,B,none,release,polished,1.06,0.9427,标称白银饰品，产线质检 ROI
qc_gold_fail_ox_0003,gold,黄金,fail,C,oxidation,reject,oxidized,1.23,0.4189,标称黄金，表面氧化发黑
qc_silver_fail_plating_0051,silver,白银,fail,C,plating_risk,quarantine,tarnished,1.5,0.8946,标称白银，疑似镀金/镀银
qc_gold_recheck_nir_0004,gold,黄金,recheck,C,none,recheck,brushed,1.99,0.8685,标称黄金，近红外反射略低，边界样本
qc_silver_pass_0170,silver,白银,pass,B,none,release,polished,1.05,0.9376,标称白银饰品，产线质检 ROI
qc_silver_fail_contam_0019,silver,白银,fail,C,contamination,quarantine,contaminated,1.24,0.6494,标称白银，表面污染
qc_gold_recheck_copper_0027,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.12,0.8854,标称黄金，光谱疑似铜色替代
qc_silver_recheck_0046,silver,白银,recheck,C,none,recheck,polished,1.03,0.9067,标称白银，光谱指标边界偏离
qc_gold_recheck_nir_0022,gold,黄金,recheck,C,none,recheck,brushed,2.11,0.8658,标称黄金，近红外反射略低，边界样本
qc_silver_fail_ox_0019,silver,白银,fail,C,oxidation,reject,oxidized,1.63,0.3799,标称白银，表面氧化严重
qc_gold_fail_ox_0017,gold,黄金,fail,C,oxidation,reject,oxidized,1.49,0.3988,标称黄金，表面氧化发黑
qc_gold_pass_0002,gold,黄金,pass,A,none,release,brushed,2.1,0.9412,标称黄金饰品，产线质检 ROI
qc_silver_fail_contam_0023,silver,白银,fail,C,contamination,quarantine,contaminated,1.37,0.6466,标称白银，表面污染
qc_gold_recheck_nir_0021,gold,黄金,recheck,C,none,recheck,brushed,2.06,0.8737,标称黄金，近红外反射略低，边界样本
qc_gold_recheck_copper_0060,gold,黄金,recheck,C,material_mismatch,recheck,polished,2.34,0.9024,标称黄金，光谱疑似铜色替代
qc_gold_pass_0006,gold,黄金,pass,A,none,release,polished,2.09,0.9251,标称黄金饰品，产线质检 ROI
qc_silver_recheck_0017,silver,白银,recheck,C,none,recheck,polished,1.06,0.9071,标称白银，光谱指标边界偏离
qc_silver_pass_0071,silver,白银,pass,B,none,release,brushed,1.06,0.9469,标称白银饰品，产线质检 ROI
